dataset_id,disease,data_type,source,accession,description,n_samples,species,tissue,cell_types,access_type,download_url,download_instructions,paper_doi,paper_citation,last_verified
norman_2019_perturbseq,healthy,perturb-seq,GEO,GSE133344,Combinatorial CRISPR perturbation screen in K562 cells. Tests pairs of gene knockdowns (not just singles). Useful for testing interaction effects.,~100000,human,K562 cell line,K562,open,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE133344,Download from GEO. Includes both single and double knockdown conditions. h5ad format available.,10.1126/science.aax4438,Norman et al. 2019 Science,2026-03-20
dixit_2016_perturbseq,healthy,perturb-seq,GEO,GSE90063,Original Perturb-seq paper. CRISPR screen in BMDCs and K562 cells. Smaller scale than Replogle but foundational dataset.,~30000,human;mouse,K562 and BMDCs,K562 and dendritic cells,open,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE90063,Download from GEO supplementary files.,10.1016/j.cell.2016.11.038,Dixit et al. 2016 Cell,2026-03-20
gasperini_2019_enhancer,healthy,CRISPR screen,GEO,GSE120861,Enhancer CRISPR screen in K562 cells. Tests effects of enhancer perturbation on gene expression. Useful for regulatory element claims.,~200000,human,K562 cell line,K562,open,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE120861,Download from GEO. Large-scale enhancer perturbation dataset with gene expression readout.,10.1016/j.cell.2019.01.005,Gasperini et al. 2019 Cell,2026-03-20
shi_2024_perturbai,healthy,perturb-seq,GEO,GSE247645,PerturbAI: Whole-brain Perturb-seq atlas in mouse. 93 ASD gene knockouts across ~38700 brain cells. Measures expression changes in vivo.,~38700,mouse,whole brain,multiple brain cell types,open,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE247645,Download from GEO. Mouse brain single-cell data with CRISPR knockouts of ASD risk genes.,10.1038/s41586-024-08326-6,Shi et al. 2024 Nature,2026-03-20
geo_gse312139,alzheimer differential expression,Expression profiling by high throughput sequencing,GEO,GSE312139,"Beyond amyloid-β and tau: A cell-based multivariate blood test (iCAP) for early Alzheimer’s detection. Abstract: Background: With amyloid-β (Aβ) therapies for Alzheimer’s disease (AD) under active debate, there is a need for diagnostic tools that reflect disease biology beyond Aβ and tau for early dete",625,Homo sapiens,,,open,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE312139,"1. Go to https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE312139. 2. Download supplementary files or series matrix. 3. For processed DE results, check the paper's supplementary materials.",,,2026-03-21
geo_gse140841,alzheimer differential expression,Expression profiling by high throughput sequencing,GEO,GSE140841,"Subtle changes in brain expression modules in Alzheimer’s disease TREM2 carriers compared to non-carriers. Background: Rare heterozygous coding variants with a large effect on the risk of developing late-onset Alzheimer's disease (similar to ApoE4, OR 2.90-5.05) have been identified in the Triggering Recep",133,Homo sapiens,,,open,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE140841,"1. Go to https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE140841. 2. Download supplementary files or series matrix. 3. For processed DE results, check the paper's supplementary materials.",,,2026-03-21
geo_gse268609,alzheimer differential expression,Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by high throughput sequencing,GEO,GSE268609,"A roadmap to human hippocampal neurogenesis in adulthood, aging and AD. In the rodent, hippocampal neurogenesis plays critical roles in learning and memory, is tightly regulated by inhibitory neurons and contributes to memory dysfunction in Alzheimer’s disease (AD) mouse ",78,Homo sapiens,,,open,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE268609,"1. Go to https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE268609. 2. Download supplementary files or series matrix. 3. For processed DE results, check the paper's supplementary materials.",,,2026-03-21
geo_gse288917,alzheimer differential expression,Expression profiling by high throughput sequencing,GEO,GSE288917,"RNA Sequencing (RNA-Seq) analysis of sex-matched neural stem cells derived from early-onset Alzheimer’s disease (EOAD), late-onset Alzheimer’s disease (LOAD), and wild-type controls. Neural stem cells derived from early-onset Alzheimer’s disease (EOAD) patients with PSEN1 mutations, late-onset Alzheimer’s disease (LOAD) patients with APOE4 genotypes, and sex-matched wild-type (WT)",32,Homo sapiens,,,open,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE288917,"1. Go to https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE288917. 2. Download supplementary files or series matrix. 3. For processed DE results, check the paper's supplementary materials.",,,2026-03-21
geo_gse308007,alzheimer differential expression,Expression profiling by high throughput sequencing,GEO,GSE308007,Spatial and single cell transcriptomics in the human Entorhinal Cortex across diverse risk of Alzheimer’s disease. We present the first spatially-resolved transcriptomics and single-nucleus RNA-sequencing integrated dataset from the entorhinal cortex (ERC) of postmortem human brain donors. ERC is implicated in ear,31,Homo sapiens,,,open,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE308007,"1. Go to https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE308007. 2. Download supplementary files or series matrix. 3. For processed DE results, check the paper's supplementary materials.",,,2026-03-21
geo_gse285048,alzheimer differential expression,Expression profiling by high throughput sequencing,GEO,GSE285048,Global transcriptional analysis of human FHs 74 Int intestinal epithelial cells after exposure to advanced glycation end products. Advanced glycation end products (AGEs) are formed during the thermal processing of food and have been implicated in the pathogenesis of a series of chronic inflammatory diseases. AGEs are hypothesized,24,Homo sapiens,,,open,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE285048,"1. Go to https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE285048. 2. Download supplementary files or series matrix. 3. For processed DE results, check the paper's supplementary materials.",,,2026-03-21
geo_gse281741,alzheimer differential expression,Expression profiling by high throughput sequencing,GEO,GSE281741,"SHANK3 deficiency alters early progenitor dynamics and reveals shared pathways with neurodegeneration. Phelan-McDermid Syndrome (PMS), primarily linked to SHANK3 haploinsufficiency, presents with complex neurodevelopmental features, including developmental regression, whose underlying mechanisms are po",18,Homo sapiens,,,open,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE281741,"1. Go to https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE281741. 2. Download supplementary files or series matrix. 3. For processed DE results, check the paper's supplementary materials.",,,2026-03-21
geo_gse307094,alzheimer differential expression,Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by high throughput sequencing,GEO,GSE307094,"Single-cell transcriptional patterns impairment in an adult neurogenesis model of Alzheimer´s disease. Alzheimer’s disease (AD) disrupts neurogenesis and neuronal differentiation, processes critical for cognitive function. This study investigates transcriptional and regulatory changes during neuronal d",18,Homo sapiens,,,open,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE307094,"1. Go to https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE307094. 2. Download supplementary files or series matrix. 3. For processed DE results, check the paper's supplementary materials.",,,2026-03-21
geo_gse165813,autism differential expression,Expression profiling by array,GEO,GSE165813,Astroblastomas exhibit radial glia stem cell lineages and differential expression of imprinted and X-inactivation escape genes [Affymetrix]. Astroblastoma (AB) is an unusual brain tumor of unknown origin. We performed an integrated clinicogenomic analysis of 36 AB-like tumors. Lesions with MN1-BEND2 fusions demonstrated decreased promoter ,48,Homo sapiens,,,open,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE165813,"1. Go to https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE165813. 2. Download supplementary files or series matrix. 3. For processed DE results, check the paper's supplementary materials.",,,2026-03-21
geo_gse222259,autism differential expression,Expression profiling by high throughput sequencing,GEO,GSE222259,Convergent coexpression of autism associated genes suggests some novel risk genes may not be detectable in large-scale genetic studies. Autism spectrum disorder (ASD) is a highly heritable neurodevelopmental disorder characterized by deficits in social interactions and communication. Protein function altering variants in many genes ha,30,Homo sapiens,,,open,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE222259,"1. Go to https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE222259. 2. Download supplementary files or series matrix. 3. For processed DE results, check the paper's supplementary materials.",,,2026-03-21
geo_gse317721,autism differential expression,Expression profiling by high throughput sequencing,GEO,GSE317721,The Potential Core Role of the FN1-Hippo Signaling Axis in the Pathological Mechanism of Autism spectrum disorder. Autism Spectrum Disorder (ASD) lacks reliable biomarkers and targeted therapies. This study integrated serum transcriptomics and proteomics from 13 ASD and 13 typically developing (TD) children to elu,26,Homo sapiens,,,open,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE317721,"1. Go to https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE317721. 2. Download supplementary files or series matrix. 3. For processed DE results, check the paper's supplementary materials.",,,2026-03-21
geo_gse199910,autism differential expression,Expression profiling by high throughput sequencing,GEO,GSE199910,"CASK mutation Disrupts Neural Connectivity in Human Neurons . Loss-of-function mutations in CASK cause severe developmental phenotypes including microcephaly with pontine and cerebellar hypoplasia (MICPHC), X-linked intellectual disability and autism. Modeling o",24,Homo sapiens,,,open,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE199910,"1. Go to https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE199910. 2. Download supplementary files or series matrix. 3. For processed DE results, check the paper's supplementary materials.",,,2026-03-21
geo_gse270436,autism differential expression,Expression profiling by high throughput sequencing,GEO,GSE270436,"Transcriptional and epigenetic targets of MEF2C in human microglia contribute to cellular functions related to autism risk and age-related disease. MEF2C encodes a transcription factor that is critical in nervous system development. To examine disease-associated functions of MEF2C in human microglia, we profiled microglia differentiated from isog",21,Homo sapiens,,,open,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE270436,"1. Go to https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE270436. 2. Download supplementary files or series matrix. 3. For processed DE results, check the paper's supplementary materials.",,,2026-03-21
geo_gse124326,bipolar differential expression,Expression profiling by high throughput sequencing,GEO,GSE124326,Whole blood transcriptome analysis in bipolar disorder reveals strong lithium effect. BACKGROUND: Bipolar disorder (BD) is a highly heritable mood disorder with complex genetic architecture and poorly understood etiology. Previous transcriptomic BD studies have had inconsistent finding,480,Homo sapiens,,,open,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE124326,"1. Go to https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE124326. 2. Download supplementary files or series matrix. 3. For processed DE results, check the paper's supplementary materials.",,,2026-03-21
geo_gse202537,bipolar differential expression,Expression profiling by high throughput sequencing,GEO,GSE202537,"Diurnal alterations in gene expression across striatal subregions in psychosis. Background: Psychosis is a defining feature of schizophrenia and highly prevalent in bipolar disorder. Notably, individuals suffering with these illnesses also have major disruptions in sleep and circ",215,Homo sapiens,,,open,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE202537,"1. Go to https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE202537. 2. Download supplementary files or series matrix. 3. For processed DE results, check the paper's supplementary materials.",,,2026-03-21
geo_gse67311,bipolar differential expression,Expression profiling by array,GEO,GSE67311,"Peripheral Blood Gene Expression in Fibromyalgia Patients Reveals  Potential Biological Markers and Physiological Pathways. Fibromyalgia (FM) is a common pain disorder characterized by dysregulation in the processing of pain. Although FM has similarities with other rheumatologic pain disorders, the search for objective mar",142,Homo sapiens,,,open,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE67311,"1. Go to https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE67311. 2. Download supplementary files or series matrix. 3. For processed DE results, check the paper's supplementary materials.",,,2026-03-21
geo_gse120342,bipolar differential expression,Expression profiling by array,GEO,GSE120342,Aberrant transcriptomes and DNA methylomes define pathways that drive pathogenesis and loss of brain laterality/asymmetry in schizophrenia and bipolar disorder. This SuperSeries is composed of the SubSeries listed below.,41,Homo sapiens,,,open,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE120342,"1. Go to https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE120342. 2. Download supplementary files or series matrix. 3. For processed DE results, check the paper's supplementary materials.",,,2026-03-21
geo_gse78246,bipolar differential expression,Expression profiling by array,GEO,GSE78246,Quantitative Trait Locus and Brain Expression of HLA-DPA1 And Shared Immune Alterations in Psychiatric Disorders. Genome wide association studies of schizophrenia encompassing the major histocompatibility locus (MHC) were highly significant following genome wide correction. This broad region implicates many genes,40,Homo sapiens,,,open,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE78246,"1. Go to https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE78246. 2. Download supplementary files or series matrix. 3. For processed DE results, check the paper's supplementary materials.",,,2026-03-21
geo_gse80336,bipolar differential expression,Expression profiling by high throughput sequencing,GEO,GSE80336,Transcriptome profiling of the human dorsal striatum in bipolar disorder. Bipolar disorder (BD) is a highly heritable and heterogeneous mental illness whose manifestations often include impulsive and risk-taking behavior. This particular phenotype suggests that abnormal str,36,Homo sapiens,,,open,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE80336,"1. Go to https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE80336. 2. Download supplementary files or series matrix. 3. For processed DE results, check the paper's supplementary materials.",,,2026-03-21
geo_gse112523,bipolar differential expression,Expression profiling by high throughput sequencing,GEO,GSE112523,"DNA methylation in neurons from post-mortem brains in schizophrenia and bipolar disorder (RNA-Seq). We fine-mapped DNA methylation in neuronal nuclei (NeuN+) isolated by flow cytometry from post-mortem frontal cortex of the brain of individuals diagnosed with schizophrenia, bipolar disorder, and con",34,Homo sapiens,,,open,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE112523,"1. Go to https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE112523. 2. Download supplementary files or series matrix. 3. For processed DE results, check the paper's supplementary materials.",,,2026-03-21
geo_gse241671,bipolar differential expression,Expression profiling by high throughput sequencing,GEO,GSE241671,"Differential effects of lithium on metabolic dysfunction in astrocytes derived from bipolar disorder patients. Metabolic alterations have been observed in the brains of patients with bipolar disorder (BD), a neuropsychiatric disorder characterized by biphasic mood episodes of mania and depression. However, the",30,Homo sapiens,,,open,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE241671,"1. Go to https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE241671. 2. Download supplementary files or series matrix. 3. For processed DE results, check the paper's supplementary materials.",,,2026-03-21
geo_gse290452,bipolar differential expression,Expression profiling by high throughput sequencing,GEO,GSE290452,"Lithium partially rescues gene expression and enhancer activity from heterozygous knockout of AKAP11 while inducing novel differential changes [RNA-Seq]. Bipolar disorder (BD) is a complex psychiatric condition usually requiring long-term treatment. Lithium (Li) remains the most effective mood stabilizer for BD, yet it benefits only a subset of patient",12,Homo sapiens,,,open,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE290452,"1. Go to https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE290452. 2. Download supplementary files or series matrix. 3. For processed DE results, check the paper's supplementary materials.",,,2026-03-21
geo_gse120341,bipolar differential expression,Expression profiling by array,GEO,GSE120341,"Aberrant transcriptomes and DNA methylomes define pathways that drive pathogenesis and loss of brain laterality/asymmetry in schizophrenia and bipolar disorder [Illumina]. Although the loss or reversal of brain laterality is one of the most consistent modalities in schizophrenia (SCZ) and bipolar disorder (BD), its molecular basis remains elusive. Our limited previous s",11,Homo sapiens,,,open,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE120341,"1. Go to https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE120341. 2. Download supplementary files or series matrix. 3. For processed DE results, check the paper's supplementary materials.",,,2026-03-21
geo_gse282551,schizophrenia differential expression,Expression profiling by high throughput sequencing,GEO,GSE282551,"Long-read RNA sequencing reveals synaptic genes with differential isoform usage in schizophrenia [long-read RNAseq ]. Over the past 15+ years, genetic studies have been notably successful in revealing the architecture of multiple psychiatric disorders, including schizophrenia. It is now widely acknowledged that schiz",30,Homo sapiens,,,open,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE282551,"1. Go to https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE282551. 2. Download supplementary files or series matrix. 3. For processed DE results, check the paper's supplementary materials.",,,2026-03-21
geo_gse263180,schizophrenia differential expression,Expression profiling by high throughput sequencing,GEO,GSE263180,Identification of Differential Expression Genes of Blood Leukocytes for Schizophrenia. Schizophrenia (SCZ) is a severe neurodevelopmental disorder with brain dysfunction. This study aimed to use bioinformatic analysis to identify candidate blood biomarkers for SCZ. Our study identified ,29,Homo sapiens,,,open,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE263180,"1. Go to https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE263180. 2. Download supplementary files or series matrix. 3. For processed DE results, check the paper's supplementary materials.",,,2026-03-21
geo_gse282552,schizophrenia differential expression,Expression profiling by high throughput sequencing,GEO,GSE282552,"Long-read RNA sequencing reveals synaptic genes with differential isoform usage in schizophrenia [short-read RNAseq ]. Over the past 15+ years, genetic studies have been notably successful in revealing the architecture of multiple psychiatric disorders, including schizophrenia. It is now widely acknowledged that schiz",18,Homo sapiens,,,open,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE282552,"1. Go to https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE282552. 2. Download supplementary files or series matrix. 3. For processed DE results, check the paper's supplementary materials.",,,2026-03-21
geo_gse213232,schizophrenia differential expression,Expression profiling by high throughput sequencing,GEO,GSE213232,"Regulation of synaptic connectivity in schizophrenia by mutual neuron-microglia interaction. The examination of post-mortem brain tissue suggests synaptic loss as a central pathological hallmark of schizophrenia spectrum (SCZ), which is potentially related to activated microglia and increased",18,Homo sapiens,,,open,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE213232,"1. Go to https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE213232. 2. Download supplementary files or series matrix. 3. For processed DE results, check the paper's supplementary materials.",,,2026-03-21
geo_gse282524,schizophrenia differential expression,Expression profiling by high throughput sequencing,GEO,GSE282524,Aberrant Neuronal Connectivity and Network Activity of Neurons Derived from Patients with Idiopathic Schizophrenia. Schizophrenia (SCZ) is a psychiatric disorder with a strong genetic determinant. A major hypothesis to explain disease aetiology comprises synaptic dysfunction associated with excitatory-inhibitory im,14,Homo sapiens,,,open,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE282524,"1. Go to https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE282524. 2. Download supplementary files or series matrix. 3. For processed DE results, check the paper's supplementary materials.",,,2026-03-21
geo_gse271359,CRISPR perturbation screen gene expression,Expression profiling by high throughput sequencing,GEO,GSE271359,"Identifying modulators of inflammation in an in vitro airway epithelial inflammation model using an arrayed CRISPRi screen. To study modulators of inflammatory airway disease, we developed an in vitro bronchial epithelial cell model system based on the BEAS-2B cell line exposed to lipopolysaccharide (LPS) and diesel exhaus",186,Homo sapiens,,,open,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE271359,"1. Go to https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE271359. 2. Download supplementary files or series matrix. 3. For processed DE results, check the paper's supplementary materials.",,,2026-03-21
geo_gse314342,CRISPR perturbation screen gene expression,Expression profiling by high throughput sequencing,GEO,GSE314342,"Genome-scale perturb-seq in primary human CD4+ T cells reveals genes regulating T cell programs and human immune traits.. CD4+ T cells orchestrate immune responses against infection and cancer, yet a comprehensive map of their gene regulatory networks has been lacking. Perturb-seq enables systematic mapping of such netwo",121,Homo sapiens,,,open,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE314342,"1. Go to https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE314342. 2. Download supplementary files or series matrix. 3. For processed DE results, check the paper's supplementary materials.",,,2026-03-21
geo_gse234324,CRISPR perturbation screen gene expression,Expression profiling by high throughput sequencing,GEO,GSE234324,CRISPR-Enabled Profiling of Enhancer RNA-Producing Super-Enhancers in Triple-Negative Breast Cancer Identifies Drivers of Tumor Progression [RNA-Seq]. Triple-negative breast cancer (TNBC) is the most therapeutically recalcitrant form of breast cancer. Pioneering genomic studies have identified the repertoire of expressed genes in the distinct molecu,104,Homo sapiens,,,open,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE234324,"1. Go to https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE234324. 2. Download supplementary files or series matrix. 3. For processed DE results, check the paper's supplementary materials.",,,2026-03-21
geo_gse276096,CRISPR perturbation screen gene expression,Expression profiling by high throughput sequencing,GEO,GSE276096,"Centralized control of dynamic gene regulatory circuits governs human T cell rest and activation [Bulk_RNA]. The ability of individual cells to maintain a distinct identity and respond to transient environmental signals requires tightly controlled regulation of gene networks. However, how discrete sets of ge",96,Homo sapiens,,,open,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE276096,"1. Go to https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE276096. 2. Download supplementary files or series matrix. 3. For processed DE results, check the paper's supplementary materials.",,,2026-03-21
geo_gse247096,CRISPR perturbation screen gene expression,Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing,GEO,GSE247096,"RNA-seq and CUT&RUN of erythroblasts upon perturbation of gamma-hemoglobin repressors. Through high throughput compound screening, we've identified compounds that induce the expression of fetal hemoglobin. This study contains RNA-seq and CUT&RUN data of a novel target, WIZ.",90,Homo sapiens,,,open,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE247096,"1. Go to https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE247096. 2. Download supplementary files or series matrix. 3. For processed DE results, check the paper's supplementary materials.",,,2026-03-21
geo_gse301119,CRISPR perturbation screen gene expression,Expression profiling by high throughput sequencing; Other,GEO,GSE301119,"Integrative analysis of pooled CRISPR screens provide functional insights into AD GWAS risk genes. Emerging research has implicated Alzheimer’s disease (AD) pathology with dysregulation of many key pathways in microglia, including lipid transport and metabolism, phagocytosis of plaques, and lysosom",28,Homo sapiens,,,open,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE301119,"1. Go to https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE301119. 2. Download supplementary files or series matrix. 3. For processed DE results, check the paper's supplementary materials.",,,2026-03-21
